PUBID|Building identifier
CLVVAV|Cooling ventilation: Central air-handling unit with VAV
CLVFLR|Cooling ventilation: Underfloor air distribution
CLVOAS|Cooling ventilation: Dedicated outside air system
CLVDEM|Cooling ventilation: Demand controlled ventilation
CLVNON|Cooling ventilation: None of these types
EMCS|Building automation system
RDHTNF|Heating reduced during 24 hour period
HWRDHT|How reduce heating
RDCLNF|Cooling reduced during 24 hour period
HWRDCL|How reduce cooling
ECN|Economizer cycle
ECNTYPE|Type of economizer
MAINT|Regular HVAC maintenance
ELWATR|Electricity used for water heating
NGWATR|Natural gas used for water heating
FKWATR|Fuel oil used for water heating
PRWATR|Propane used for water heating
STWATR|District steam used for water heating
HWWATR|District hot water used for water heating
WOWATR|Wood used for water heating
COWATR|Coal used for water heating
SOWATR|Solar used for water heating
OTWATR|Other source used for water heating
WTHTEQ|Water heating equipment
BOOSTWT|Booster water heaters
INSTWT|Instant hot water
ELCOOK|Electricity used for cooking
NGCOOK|Natural gas used for cooking
FKCOOK|Fuel oil used for cooking
PRCOOK|Propane used for cooking
STCOOK|District steam used for cooking
HWCOOK|District hot water used for cooking
WOCOOK|Wood used for cooking
COCOOK|Coal used for cooking
SOCOOK|Solar used for cooking
OTCOOK|Other source used for cooking
ELMANU|Electricity used for manufacturing
NGMANU|Natural gas used for manufacturing
FKMANU|Fuel oil used for manufacturing
PRMANU|Propane used for manufacturing
STMANU|District steam used for manufacturing
HWMANU|District hot water used for manufacturing
WOMANU|Wood used for manufacturing
COMANU|Coal used for manufacturing
SOMANU|Solar used for manufacturing
OTMANU|Other source used for manufacturing
NGGENR|Natural gas used for electricity generation
FKGENR|Fuel oil used for electricity generation
PRGENR|Propane used for electricity generation
WOGENR|Wood used for electricity generation
COGENR|Coal used for electricity generation
SOGENR|Solar used for electricity generation
OTGENR|Other source used for electricity generation
PVC|Photovoltaic cells
FUELCL|Fuel cells
LRGTRB|Large turbines
MCROTB|Microturbines
ENGINE|Reciprocating engines
GENUSE|Use of generated electricity
COGEN|Cogeneration system
TOGRID|Deliver electricity to grid
NGOTH|Natural gas for some other use
FKOTH|Fuel oil for some other use
PROTH|Propane for some other use
STOTH|District steam for some other use
HWOTH|District hot water for some other use
CWOTH|District chilled water for some other use
WOOTH|Wood for some other use
COOTH|Coal for some other use
SOOTH|Solar for some other use
OTOTH|Other source for some other use
ELLOCUT|Electricity from local utility
ELNONLU|Electricity from IPP/non-local utility
ELOTSRC|Electricity from some other source
ELCPLT|Electricity from central plant
ELLUPCT|Percent of elec from local utility
NGSRC|How purchase natural gas
PRAMTC|Bottled gas amount
PRUNIT|Bottled gas units
WOAMT|Amount wood burned
WOSRC|How obtain wood
WOEXP|Expenditures for wood
WOEXPC|Wood expenditures category
AMIMETER|AMI smart metering
ENRGYPLN|Energy management plan
SNACK|Snack bar or concession stand
FASTFD|Fast food or small restaurant
CAF|Cafeteria or large restaurant
FDPREP|Commercial or large kitchen
KITCHN|Small kitchen area
BREAKRM|Employee lounge, breakroom, or pantry
OTFDRM|Other food prep or serving area
HWTRM|Large amounts of hot water
LAUNDR|Laundry onsite
CONFSP|Conference or event space
CONFSPP|Percent conference or event space
MEDEQP|Medical equipment
XRAYN|Number of X-ray machines
CTSCAN|CT scan machines
MRI|MRI machines
LINACC|Linear accelerators
OUTSURG|Operating rooms for outpatient surgery
LABEQP|Laboratory equipment
MCHEQP|Machine equipment
POOL|Indoor swimming pool
HTPOOL|Heated indoor swimming pool
POOLSRC|Pool energy source
STRLZR|Sterilizers or autoclaves
RFGEQP|Refrigeration
RFGRES|Full-size residential-type refrigerator
RFGCOMP|Half-size or compact refrigerators
RFGWI|Walk-in refrigeration units
RFGOP|Open case refrigeration units
RFGCL|Closed case refrigeration units
RFGVEN|Refrigerated vending machines
RFGICE|Commercial ice makers
RFGSTO|Large cold storage areas
RFGRSN|Number of residential refrigerators
RFGCOMPN|Number of compact refrigerators
RFGWIN|Number of walk-in units
RFGOPN|Number of open case refrigeration units
RFGCLN|Number of closed case refrigeration units
RFGVNN|Number of refrigerated vending machines
RFGICN|Number of ice makers
RFGSTP|Percent cold storage
WHRECOV|Waste heat recovery
WHHT2|Waste heat used for secondary heating
WHWT|Waste heat used for water heating
WHOT|Waste heat used for some other use
PCTERM|Computers used
PCTERMN|Number of computers
PCTRMC|Number of computers category
MLTMON|Multiple monitors
MLTMNC|Multiple monitor category
FLATC|Flat screen category
LAPTPN|Number of laptops
LAPTPC|Number of laptops category
PRNTRN|Number of printers
PRNTYP|Type of printers
SERVER|Dedicated servers
SERVERN|Number of servers
SERVERC|Number of servers category
DATACNTR|Data center or server farm
DCNTRSFC|Data center or server farm sqft category
TRNGRM|Computer-based training room
STDNRM|Student or public computer center
WBOARDS|Interactive whiteboards
TVVIDEO|TV or video displays
TVVIDEON|Number of TV or video displays
RGSTR|Cash registers
RGSTRN|Number of cash registers
COPIER|Photocopiers
COPIERN|Number of photocopiers
FAX|FAX machines
LTOHRP|Percent lit when open
LOHRPC|Lit when open category
LTNR24|Lights off during 24 hours
LTNHRP|Percent lit off hours
LNHRPC|Lit off hours category
RDLTNF|Lighting reduced during off hours
FLUOR|Fluorescent bulbs
CFLR|Compact fluorescent bulbs
BULB|Incandescent bulbs
HALO|Halogen bulbs
HID|High intensity discharge (HID) bulbs
LED|Light-emitting diode (LED) bulbs
OTLT|Other type of bulbs
FLUORP|Percent lit by fluorescent
CFLRP|Percent lit by compact fluorescent
BULBP|Percent lit by incandescent
HALOP|Percent lit by halogen
HIDP|Percent lit by HID
LEDP|Percent lit by LED
OTLTP|Percent lit by other lighting
EMCSLT|BAS controls lighting
SCHED|Light scheduling
OCSN|Occupancy sensors
DIM|Multi-level lighting or dimming
DAYHARV|Daylight harvesting
TRIM|High-end trimming or light-level tuning
PLGCTRL|Plug load control
DRLGHT|Demand responsive lighting
LTEXPC|Percent of exterior lighted
PKLT|Lighted parking area
WINTYP|Window glass type
TINT|Tinted window glass
REFL|Reflective window glass
AWN|External overhangs or awnings
SKYLT|Skylights or atriums
DAYLTP|Percent daylight
ZSQFT|Imputed square footage
ZSQFTC|Imputed square footage category
ZWLCNS|Imputed wall construction material
ZRFCNS|Imputed roof construction material
ZRFCOOL|Imputed cool roof materials
ZRFTILT|Imputed roof tilt
ZBLDSHP|Imputed building shape
ZGLSSPC|Imputed percent exterior glass
ZEQGLSS|Imputed equal glass on all sides
ZSUNGLS|Imputed glass sides most sunlight
ZNFLOOR|Imputed number of floors
ZBASEMNT|Imputed number of underground floors
ZFLCEILHT|Imputed floor to ceiling height
ZATTIC|Imputed attic
ZELEVTR|Imputed elevators
ZNELVTR|Imputed number of elevators
ZESCLTR|Imputed escalators
ZNESLTR|Imputed number of escalators
ZYRCON|Imputed year of construction
ZYRCONC|Imputed year of construction category
ZRENOV|Imputed any renovations
ZRENADD|Imputed addition or annex
ZRENRDC|Imputed reduction of floorspace
ZRENCOS|Imputed cosmetic improvements
ZRENINT|Imputed interior wall re-configuration
ZRENRFF|Imputed roof replacement
ZRENWLL|Imputed exterior wall replacement
ZRENWIN|Imputed window replacement
ZRENHVC|Imputed HVAC equipment upgrade
ZRENLGT|Imputed lighting upgrade
ZRENPLB|Imputed plumbing system upgrade
ZRENELC|Imputed electrical upgrade
ZRENINS|Imputed insulation upgrade
ZRENSAF|Imputed fire, safety, or security upgrade
ZRENSTR|Imputed structural upgrade
ZRENOTH|Imputed other renovation
ZDRYCL|Imputed dry cleaning onsite
ZCUBE|Imputed open plan office space
ZCUBEC|Imputed percent open plan
ZCUBELOC|Imputed location of open plan
ZRWSEAT|Imputed religious worship seating capacity
ZPBSEAT|Imputed assembly seating capacity
ZEDSEAT|Imputed number of classroom seats
ZFDSEAT|Imputed food service seating capacity
ZHCBED|Imputed licensed bed capacity
ZNRSBED|Imputed licensed bed capacity
ZLODGRM|Imputed number of guest rooms
ZFACIL|Imputed on a multibuilding complex
ZFEDFAC|Imputed federal complex
ZFACACT|Imputed type of complex
ZPLANT|Imputed central physical plant on complex
ZFACDST|Imputed plant produces district steam
ZFACDHW|Imputed plant produces district hot water
ZFACDCW|Imputed plant produces district chilled water
ZFACELC|Imputed plant produces electricity
ZBLDPLT|Imputed central plant in building
ZGOVOWN|Imputed government owned
ZGOVTYP|Imputed type of government
ZOWNTYPE|Imputed building owner
ZNOCC|Imputed number of businesses
ZNOCCAT|Imputed number of businesses category
ZOWNOCC|Imputed owner occupied or leased to tenant(s)
ZOWNOPR|Imputed owner responsible for operation and maintenance of energy systems
ZOWNPPR|Imputed owner has purchasing power for energy-related equipment
ZNWNPPR|Imputed nonowner with purchasing power for energy-related equipment
ZNWNOPR|Imputed nonowner responsible for operation and maintenance of energy systems
ZWHOPPR|Imputed who has purchasing power
ZMONUSE|Imputed months in use
ZOCCUPYP|Imputed percent occupancy
ZLODOCCP|Imputed lodging room percent occupancy
ZOPEN24|Imputed open 24 hours a day
ZOPNMF|Imputed open during week
ZOPNWE|Imputed open on weekend
ZWKHRS|Imputed total hours open per week
ZWKHRSC|Imputed weekly hours category
ZNWKER|Imputed number of employees
ZNWKERC|Imputed number of employees category
ZHT1|Imputed energy used for main heating
ZHT2|Imputed energy used for secondary heating
ZCOOL|Imputed energy used for cooling
ZWATR|Imputed energy used for water heating
ZCOOK|Imputed energy used for cooking
ZMANU|Imputed energy used for manufacturing
ZCAPGEN|Imputed electricity generation capability
ZGENR|Imputed energy used for electricity generation
ZELUSED|Imputed electricity used
ZNGUSED|Imputed natural gas used
ZFKUSED|Imputed fuel oil/diesel/kerosene used
ZPRUSED|Imputed bottled gas/LPG/propane used
ZSTUSED|Imputed district steam used
ZHWUSED|Imputed district hot water used
ZCWUSED|Imputed district chilled water used
ZWOUSED|Imputed wood used
ZCOUSED|Imputed coal used
ZSOUSED|Imputed solar used
ZOTUSED|Imputed other energy source used
ZELHT1|Imputed electricity used for main heating
ZNGHT1|Imputed natural gas used for main heating
ZFKHT1|Imputed fuel oil used for main heating
ZPRHT1|Imputed propane used for main heating
ZSTHT1|Imputed district steam used for main heating
ZHWHT1|Imputed district hot water used for main heating
ZWOHT1|Imputed wood used for main heating
ZCOHT1|Imputed coal used for main heating
ZSOHT1|Imputed solar used for main heating
ZOTHT1|Imputed other source used for main heating
ZELHT2|Imputed electricity used for secondary heating
ZNGHT2|Imputed natural gas used for secondary heating
ZFKHT2|Imputed fuel oil used for secondary heating
ZPRHT2|Imputed propane used for secondary heating
ZSTHT2|Imputed district steam used for secondary heating
ZHWHT2|Imputed district hot water used for secondary heating
ZWOHT2|Imputed wood used for secondary heating
ZCOHT2|Imputed coal used for secondary heating
ZSOHT2|Imputed solar used for secondary heating
ZOTHT2|Imputed other source used for secondary heating
ZHEATP|Imputed percent heated
ZHTLS50|Imputed heated to less than 50 degrees
ZFURNAC|Imputed furnaces that heat air directly
ZPKGHT|Imputed packaged heating units
ZBOILER|Imputed boilers inside the building
ZSTHW|Imputed district steam or hot water piped in
ZHTPMPH|Imputed heat pumps for heating
ZSLFCON|Imputed individual space heaters
ZOTHTEQ|Imputed other heating equipment
ZFURNP|Imputed percent heated by furnace
ZPKGHP|Imputed percent heated by packaged heating
ZBOILP|Imputed percent heated by boiler
ZSTHWP|Imputed percent heated by dist steam/hot water
ZHTPHP|Imputed percent heated by heat pumps
ZSLFCNP|Imputed percent heated by individual space heaters
ZOTHTP|Imputed percent heated by other heating equipment
ZMAINHT|Imputed main heating equipment
ZNWMNHT|Imputed main heating replaced
ZPKGHTTYP|Imputed type of packaged heating
ZPKGFURN|Imputed packaged heating component: Furnace
ZPKGHTP|Imputed packaged heating component: Heat pump
ZPKGCOIL|Imputed packaged heating component: Heating coil
ZPKGPIU|Imputed packaged heating component: Powered induction unit
ZPKGDUCT|Imputed packaged heating component: Duct reheat
ZBLRRAD|Imputed boiler system: Radiators
ZBLRFNCL|Imputed boiler system: Fan coil units in rooms
ZBLRINDC|Imputed boiler system: Induction units
ZBLRLOOP|Imputed boiler system: Water loop heat pump
ZBLRAIR|Imputed boiler system: Central air handler
ZBLRPKG|Imputed boiler system: Packaged unit
ZBLRDUCT|Imputed boiler system: Duct reheat
ZDHRAD|Imputed district heat system: Radiators
ZDHFNCL|Imputed district heat system: Fan coil units in rooms
ZDHINDC|Imputed district heat system: Induction units
ZDHLOOP|Imputed district heat system: Water loop heat pump
ZDHAIR|Imputed district heat system: Central air handler
ZDHPKG|Imputed district heat system: Packaged unit
ZDHDUCT|Imputed district heat system: Duct reheat
ZHPHPKG|Imputed heat pump heating system: Packaged unit
ZHPHSPLT|Imputed heat pump heating system: Split system
ZHPHROOM|Imputed heat pump heating system: Individual room heat pump
ZHPHMINI|Imputed heat pump heating system: Ductless mini-split
ZHPHVRF|Imputed heat pump heating system: Variable refrigerant flow
ZHPHAIR|Imputed heat pump heating type: Air source
ZHPHGRD|Imputed heat pump heating type: Ground source
ZHPHDUAL|Imputed heat pump heating type: Dual source
ZHPHWTR|Imputed heat pump heating type: Water loop
ZHPHBKUP|Imputed heat pump backup energy source
ZSHRDNT|Imputed individual heater: Infrared radiant
ZSHBBRD|Imputed individual heater: Baseboard
ZSHPORT|Imputed individual heater: Portable space heater
ZSHWALL|Imputed individual heater: Wall heater
ZSHFURN|Imputed individual heater: Individual furnace
ZSHUNIT|Imputed individual heater: Unit heater
ZSHPTAC|Imputed individual heater: Heating element in PTAC
ZHTVCAV|Imputed heating ventilation: Central air handling with CAV
ZHTVVAV|Imputed heating ventilation: Central air handling with VAV
ZHTVFLR|Imputed heating ventilation: Underfloor air distribution
ZHTVOAS|Imputed heating ventilation: Dedicated outside air system
ZHTVDEM|Imputed heating ventilation: Demand controlled ventilation
ZHTVNON|Imputed heating ventilation: None of these
ZELCOOL|Imputed electricity used for cooling
ZNGCOOL|Imputed natural gas used for cooling
ZFKCOOL|Imputed fuel oil used for cooling
ZPRCOOL|Imputed propane used for cooling
ZSTCOOL|Imputed district steam  used for cooling
ZHWCOOL|Imputed district hot water used for cooling
ZCWCOOL|Imputed district chilled water used for cooling
ZOTCOOL|Imputed other source used for cooling
ZCOOLP|Imputed percent cooled
ZRCAC|Imputed residential type central A/C
ZPKGCL|Imputed packaged A/C units
ZCHILLR|Imputed central chillers inside the building
ZCHWT|Imputed district chilled water piped in
ZHTPMPC|Imputed heat pumps for cooling
ZACWNWL|Imputed individual room air conditioners
ZEVAPCL|Imputed evaporative or swamp coolers
ZOTCLEQ|Imputed other cooling equipment
ZRCACP|Imputed percent cooled by central A/C
ZPKGCP|Imputed percent cooled by packaged A/C units
ZCHILP|Imputed percent cooled by central chillers
ZCHWTP|Imputed percent cooled by district chilled water
ZHTPCP|Imputed percent cooled by heat pumps
ZACWNWP|Imputed percent cooled by individual room A/C
ZEVAPP|Imputed percent cooled by swamp coolers
ZOTCLP|Imputed percent cooled by other cooling equipment
ZMAINCL|Imputed main cooling equipment
ZNWMNCL|Imputed main cooling replaced
ZPKGCLTYP|Imputed type of packaged cooling
ZCHLAIRCL|Imputed chiller type: Air-cooled
ZCHLWTRCL|Imputed chiller type: Water cooled
ZCHLABSRP|Imputed chiller type: Absorption
ZHTRCHLR|Imputed heater chiller
ZCHLAIR|Imputed chiller system: Central air handler
ZCHLFNCL|Imputed chiller system: Fan coil units in rooms
ZCHLINDC|Imputed chiller system: Induction units
ZCHLLOOP|Imputed chiller system: Water loop heat pump
ZCHLBEAM|Imputed chiller system: Chilled beam
ZCHLPKG|Imputed chiller system: Packaged unit
ZCHLDUCT|Imputed chiller system: Duct reheat
ZDCWAIR|Imputed district CW system: Central air handler
ZDCWFNCL|Imputed district CW system: Fan coil units in rooms
ZDCWINDC|Imputed district CW system: Induction units
ZDCWLOOP|Imputed district CW system: Water loop heat pump
ZDCWBEAM|Imputed district CW system: Chilled beam
ZDCWPKG|Imputed district CW system: Packaged unit
ZDCWDUCT|Imputed district CW system: Duct reheat
ZHPCPKG|Imputed heat pump cooling system: Packaged unit
ZHPCSPLT|Imputed heat pump cooling system: Split system
ZHPCROOM|Imputed heat pump cooling system: Individual room heat pump
ZHPCMINI|Imputed heat pump cooling system: Ductless mini-split
ZHPCVRF|Imputed heat pump cooling system: Variable refrigerant flow
ZHPCAIR|Imputed heat pump cooling type: Air source
ZHPCGRD|Imputed heat pump cooling type: Ground source
ZHPCDUAL|Imputed heat pump cooling type: Dual source
ZHPCWTR|Imputed heat pump cooling type: Water loop
ZCLVCAV|Imputed cooling ventilation: Central air-handling unit with CAV
ZCLVVAV|Imputed cooling ventilation: Central air-handling unit with VAV
ZCLVFLR|Imputed cooling ventilation: Underfloor air distribution
ZCLVOAS|Imputed cooling ventilation: Dedicated outside air system
ZCLVDEM|Imputed cooling ventilation: Demand controlled ventilation
ZCLVNON|Imputed cooling ventilation: None of these types
ZEMCS|Imputed building automation system (BAS)
ZRDHTNF|Imputed heating reduced during 24 hour period
ZHWRDHT|Imputed how reduce heating
ZRDCLNF|Imputed cooling reduced during 24 hour period
ZHWRDCL|Imputed how reduce cooling
ZECN|Imputed economizer cycle
ZECNTYPE|Imputed type of economizer
ZMAINT|Imputed regular HVAC maintenance
ZELWATR|Imputed electricity used for water heating
ZNGWATR|Imputed natural gas used for water heating
ZFKWATR|Imputed fuel oil used for water heating
ZPRWATR|Imputed propane used for water heating
ZSTWATR|Imputed district steam used for water heating
ZHWWATR|Imputed district hot water used for water heating
ZWOWATR|Imputed wood used for water heating
ZCOWATR|Imputed coal used for water heating
ZSOWATR|Imputed solar used for water heating
ZOTWATR|Imputed other source used for water heating
ZWTHTEQ|Imputed water heating equipment
ZBOOSTWT|Imputed booster water heaters
ZINSTWT|Imputed instant hot water
ZELCOOK|Imputed electricity used for cooking
ZNGCOOK|Imputed natural gas used for cooking
ZFKCOOK|Imputed fuel oil used for cooking
ZPRCOOK|Imputed propane used for cooking
ZSTCOOK|Imputed district steam used for cooking
ZHWCOOK|Imputed district hot water used for cooking
ZWOCOOK|Imputed wood used for cooking
ZCOCOOK|Imputed coal used for cooking
ZSOCOOK|Imputed solar used for cooking
ZOTCOOK|Imputed other source used for cooking
ZELMANU|Imputed electricity used for manufacturing
ZNGMANU|Imputed natural gas used for manufacturing
ZFKMANU|Imputed fuel oil used for manufacturing
ZPRMANU|Imputed propane used for manufacturing
ZSTMANU|Imputed district steam used for manufacturing
ZHWMANU|Imputed district hot water used for manufacturing
ZWOMANU|Imputed wood used for manufacturing
ZCOMANU|Imputed coal used for manufacturing
ZSOMANU|Imputed solar used for manufacturing
ZOTMANU|Imputed other source used for manufacturing
ZNGGENR|Imputed natural gas used for electricity generation
ZFKGENR|Imputed fuel oil used for electricity generation
ZPRGENR|Imputed propane used for electricity generation
ZWOGENR|Imputed wood used for electricity generation
ZCOGENR|Imputed coal used for electricity generation
ZSOGENR|Imputed solar used for electricity generation
ZOTGENR|Imputed other source used for electricity generation
ZPVC|Imputed photovoltaic cells
ZFUELCL|Imputed fuel cells
ZLRGTRB|Imputed large turbines
ZMCROTB|Imputed microturbines
ZENGINE|Imputed reciprocating engines
ZGENUSE|Imputed use of generated electricity
ZCOGEN|Imputed cogeneration system
